SN,Term,Post_Link,Post_Text,Village,TA,Date,Time_Hrs,Other information
45,https://web.facebook.com/photo/?fbid=709244454733344&set=pcb.709244944733295,,"PRESS RELEASE
For immediate release
UPDATE ON FLASH FLOODS IN NKHOTAKOTA AND KARONGA DISTRICTS 
The Department of Disaster Management Affairs (DoDMA) in the Office of the President and Cabinet would like to update the general public on effects of flash floods following heavy downpour in Nkhotakota  and Karonga Districts. 
As of Thursday, 29th February, 2024, an updated preliminary report from Nkhotakota District Council indicates that about 7,000 people have been displaced and nine camps set in Traditional Authorities (T/As) Kanyenda and Mphonde.The report further states that one person has died when the canoe they were sailing in capsized due to high water levels.
Meanwhile, a national search and rescue (SAR) team led by the Malawi Defence Force (MDF) is working with  communities in providing life-saving interventions. So far, over 900 people who were trapped in various areas, have been rescued. The SAR team is also ferrying relief items (which include maize flour and tents) earlier dispatched by the department and medical personnel and supplies/equipment to areas that require urgent attention.
For the past 24 hours, rains persisted around Dwangwa; causing widespread damage to roads and further hindering essential service delivery. 
Immediate Needs
The council further reports that displaced communities are in need of food, clothing, shelter materials (i.e family tents), blankets, dignity kits and WASH facilities (cups, pails, water treatment chemicals and mobile toilets).   
In Karonga, a brief update by the council indicates that heavy rains persisted and have largely damaged rice fields in TA Mwakawoko.
As most parts of the lakeshore areas continue experiencing high rainfalls, the department reiterate calls for communities to move to safer and higher areas.
The general public will be duly updated on damages caused by the floods and any related development.  
For more information, please contact the Principal Information Management and Public Relations Officer, Mr. Chipiliro Raymond Khamula, on +265 (0) 999 043 228, (0) 884 572 844 E-mail; info.dodma@dodma.gov.mw.
Issued in Lilongwe on the 29th Day of February, 2024.
Charles Kalemba
COMMISSIONER FOR DISASTER
MANAGEMENT AFFAIRS
Disaster Risk Reduction is Everyone’s Responsibility!
Dr Lazarus Chakwera 
Malawi Government 
Malawi Red Cross Society - MRCS 
@followers 
@top fans 
Times 360 Malawi 
Nkhotakota Radio Station 101.9FM 
Malawi News Agency 
Zodiak Online 
Nkhotakota District Council 
Malawi Broadcasting Corporation 
Nation Publications Limited 
Ministry of Local Government, Unity and Culture-Malawi 
Mibawa TV 
Nkhoma Synod Radio 
Radio Maria Malawi 
MIJ Online",,,29-February-2025,16:22,
26,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=822761653216097&set=a.646932340799030,"Malawian hip-hop duo Ace Jeezy and Bee Jay have launched an initiative aimed at assisting girls who have been affected by floods with sanitary pads in Nkhotakota district.
Acee Jeezy and Bee Jay in alliance with other stakeholders raised funds for sanitary pads to support girls in the district.
""We wanted to have a starting point, girls suffer a lot in times like these however, in our next move we will consider the boy child as well,"" said Bee Jay whose real name is Brian Jonas. 
Last Saturday they donated about 200 reusable sanitary pads and some food staff however their target stands at donating 12,000 reusable sanitary pads. 
In collaboration with their partners, the duo will soon host a show to raise funds and Sustainable Fashion & Women Empowerment will provide 200 pads whilst City Pharmacy has pledged 100 pads. 
""We visited Longa Camp in Nkhotakota yesterday and we have observed that over 400 women have also been affected hence we need more well-wishers to come through,"" said Bee Jay. 
By Manson Msukwa",,,18-Mar-24,11:38,
17,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=815065270652845&set=a.637876698371704,"#ZBSNews
Some people that were displaced by floods in Nkhotakota district and are staying in camps have called for support to relocate upland in recovery, emphasizing that their land is no longer suitable for settlement.
Speaking today at Kanyenda camp in the district, a representative of the people, Edward Imedi, said identification of new land and payment of relevant costs need to be considered as officials plan for the recovery support.
He was speaking when NBS bank donated some relief items to flood survivors at the camp.
Nkhotakota District Council Director of Administration and Human Resource Victor Chithabwa, said the council is now targeting households in provision of relief support as part of preparations for decommissioning of the camps.
The support which the NBS bank has donated is valued at over four million kwacha.
(by Winstone Kaimira-Nkhotakota:03/15/24)",,,16-Mar-24,,
2,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=10228195090195850&set=a.3699031987777,"*2024 NkhotaKota Malawi Floods Relief Appeal*
Dear Folks,
Nkhotakota (KK) District in the Central Region of Malawi has been battered by heavy rains that caused flooding.
At least 6 People…
Read more here https://gofund.me/4d86b9ec
Forward this message to your contacts to help this campaign reach its goal!",,,15-Mar-24,,Relief
11,flooding in nkhotakota,https://web.facebook.com/beejaynyimbo/videos/1244054256552836/,Nkhotakota - Dwangwa Floods Fundraiser Update with Ace Jizzy,,,15-Mar-24,17:57,
19,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=709244454733344&set=pcb.709244944733295,"PRESS RELEASE
For immediate release
UPDATE ON FLASH FLOODS IN NKHOTAKOTA AND KARONGA DISTRICTS 
The Department of Disaster Management Affairs (DoDMA) in the Office of the President and Cabinet would like to update the general public on effects of flash floods following heavy downpour in Nkhotakota  and Karonga Districts. 
As of Thursday, 29th February, 2024, an updated preliminary report from Nkhotakota District Council indicates that about 7,000 people have been displaced and nine camps set in Traditional Authorities (T/As) Kanyenda and Mphonde.The report further states that one person has died when the canoe they were sailing in capsized due to high water levels.
Meanwhile, a national search and rescue (SAR) team led by the Malawi Defence Force (MDF) is working with  communities in providing life-saving interventions. So far, over 900 people who were trapped in various areas, have been rescued. The SAR team is also ferrying relief items (which include maize flour and tents) earlier dispatched by the department and medical personnel and supplies/equipment to areas that require urgent attention.
For the past 24 hours, rains persisted around Dwangwa; causing widespread damage to roads and further hindering essential service delivery. 
Immediate Needs
The council further reports that displaced communities are in need of food, clothing, shelter materials (i.e family tents), blankets, dignity kits and WASH facilities (cups, pails, water treatment chemicals and mobile toilets).   
In Karonga, a brief update by the council indicates that heavy rains persisted and have largely damaged rice fields in TA Mwakawoko.
As most parts of the lakeshore areas continue experiencing high rainfalls, the department reiterate calls for communities to move to safer and higher areas.
The general public will be duly updated on damages caused by the floods and any related development.  
For more information, please contact the Principal Information Management and Public Relations Officer, Mr. Chipiliro Raymond Khamula, on +265 (0) 999 043 228, (0) 884 572 844 E-mail; info.dodma@dodma.gov.mw.
Issued in Lilongwe on the 29th Day of February, 2024.
Charles Kalemba
COMMISSIONER FOR DISASTER
MANAGEMENT AFFAIRS
Disaster Risk Reduction is Everyone’s Responsibility!
Dr Lazarus Chakwera 
Malawi Government 
Malawi Red Cross Society - MRCS 
@followers 
@top fans 
Times 360 Malawi 
Nkhotakota Radio Station 101.9FM 
Malawi News Agency 
Zodiak Online 
Nkhotakota District Council 
Malawi Broadcasting Corporation 
Nation Publications Limited 
Ministry of Local Government, Unity and Culture-Malawi 
Mibawa TV 
Nkhoma Synod Radio 
Radio Maria Malawi 
MIJ Online",,,15-Mar-24,16:22,
49,https://web.facebook.com/beejaynyimbo/videos/1244054256552836,,"
Nkhotakota - Dwangwa Floods Fundraiser Update with Ace Jizzy",,,15-Mar-24,17:57,
33,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=820280183464244&set=a.646932340799030,"Households affected by floods receive family tents
Households affected by floods in Nkhotakota and Karonga districts have received 200 family tents from the United Nations High Commissioner for Refugees (UNHCR) Malawi.
Read more at: https://malawi24.com/.../households-affected-by-floods.../",,,14-Mar-24,11:16,
39,flooding in nkhotakota,,"#ZBSNews
People that were affected by floods and were staying at Matiki and Nyamvuu Primary Schools in Nkhotakota district have been moved to Ngala Camp for provision of education to continue in the public education facilities.
Ngala Camp is at a non-operational private school in Nkhotakota North.
Acting Disaster Risk Management Officer for Nkhotakota, George Zibophe says there are plans to fully support the flood survivors in readiness for the decommissioning of the camps.
He was speaking during distribution of relief items valued at five million kwacha to people at the Ngala Camp, donated by Ripple Africa.
Ripple Africa Project Coordinator for Nkhotakota District, Getrude Odala, said the organisation is concerned with the disaster which has affected people in its catchment area.
(by Winstone Kaimira-Nkhotakota : 03/13/24)
#malawismostfollowedpage",,,14-Mar-24,,
9,flooding in nkhotakota,https://web.facebook.com/photo/?fbid=819121756913420&set=pcb.819122070246722,"10,529 people in camps following floods in Nkhotakota
Over 10,500 people are in 11 camps in Nkhotakota District after their homes were damaged due to floods.
Read more at: https://malawi24.com/.../10529-people-in-camps-following.../",,,13-Mar-24,12:34,
