"","Post_Text","Term","Post_Link","Village","TA","Date","Time_Hrs","Other Information"
"1","
*KK / DWANGWA | FLASH FLOODS RESPONSE | LIVE REPORTING*","dwangwa floods",NA,NA,NA,NA,NA,NA
"2","
Dwangwa flooding 28 Feb 2024","dwangwa floods",NA,NA,NA,2024-02-28,"0.46597222222222223",NA
"3","
Nkhotakota - Dwangwa Floods Fundraiser Update with Ace Jizzy","flooding in Dwangwa",NA,NA,NA,2024-03-15,"0.74791666666666667",NA
"4","
This is Dwangwa road washed away by flooding water","flooding in Dwangwa",NA,NA,NA,2024-02-29,"0.7416666666666667",NA
"5","#ManaNews
Ripple Africa bails out flood survivors in Nkhotakota
Nkhotakota, March 14: Ripple Africa on Wednesday donated assorted relief items to the recent flash flood survivors sheltered in three camps at a non-operational private secondary school at Ngala in the area of Senior Chief Kanyenda in Nkhotakota.
Ripple Africa District Project Coordinator Getrude Odala said being part of a development partner in the district, they felt it was necessary to assist people that have been affected by the recent floods in the district.
She said they have provided food, non-food and sanitary items, including maize flour, cooking oil, sugar, soap and tents all valued at K5 million to ease the stay of the survivors at the camp.
""We have made the donation after our concern with the disaster which has affected people, and we hope that the items will address some of the challenges which are being faced here,"" said Odala.
Acting Distaster and Risk Management Officer for Nkhotakota District Council, George Zibophe, called on well-wishers, companies, and various organisations to continue assisting with urgent needs those that have been affected.
Zibophe said there are plans to fully support the recent flash flood survivors in readiness for decommissioning of the camps.
""We are registering those that have been affected and the government through the Department of Disaster Management Affairs (DoDMA) is planning to distribute relief items to each and every household to assist them when they return to their communities,"" said Zibophe.
Village Headman Semion Kanyenda welcomed the plans by the district council, adding that the donation they have received from Ripple Africa has come at the camp at the right time.
Some of the people at the camp were staying at Matiki and Nyavuwu Primary Schools but have been moved to Ngala, for provision of education to continue in the public education facilities in the district.
Reported by Innocent Chunga","flooding in nkhotakota","https://web.facebook.com/photo/?fbid=872049044933613&set=pcb.872049201600264",NA,NA,NA,NA,NA
"6","#Nkhani 
Khonsolo ya boma la Nkhotakota yati ntchito yopeleka thandizo losiyanasiyana monga chakudya kwa anthu omwe akhudzidwa ndi madzi osefukira ku Dwangwa m'boma la Nkhotakota ilimkati. 
Bwanamkubwa wa boma la Nkhotakota Ben Tonho ndiye wanena izi poyankhula ndi Nkhoma Synod Radio pomwe ati thandizoli lapelekedwa kuchokera ku nthambi yowona zangozi zogwa mwadzidzidzi ya DODMA. 
A Tonho ati padakali pano ntchito yopulumutsa anthu omwe anatsakamira m'malo osiyanasiyana yomwe yayamba dzulo ikupitilirabe pogwiritsa ntchito mabwato omwe alandira kuchoka ku nthambi ya asilikali ankhondo.
Malingana ndi bwanamkubwa-yu, anthu oposa 6 thousand 125 ndiwomwe akhudzidwa ndi kusefukira kwa madzi-ku.
Wolemba: Benson Kamonjola
Chithuzi: Social media","Madzi osefukira ku dwangwa, kusefukira kwa madzi ku Dwangwa","https://web.facebook.com/nkhomasynodradio/posts/pfbid04YRZkb78zrDQg31oYEVn9giFbUdpPe8yBFTUFo78V4T4HPKRXaG5Me8xV4FdywF4l","Dwangwa",NA,2024-02-29,"0.66874999999999996",NA
"7","#TWRNews
Anthu oposa 6000 akusowa pokhala ku Dwangwa m’boma la Nkhotakota madzi osefukira ataononga nyumba zawo kutsatira mvula ya mphamvu yomwe ikugwa kwa masiku oposa atatu tsopano.
Mkulu owona za ngozi zogwa mwadzidzidzi mu khonsolo ya bomali a George Zibophe ati anthuwa akuwasunga mmalo ongoyembekezera chabe pomwe ntchito yopulumutsa ena omwe ali pa chiopsezo ndi madziwa ikupitilira.
Zibophe wati asilikali a nthambi ya MDF ndi amene akuthandiza pa ntchito yopulumutsa anthuwa kudzera pa bwato kutsatira kusefukira kwa madzi komwe kwakhudza kwambiri mitsinje ya Bua komanso Kaombe.
Iwo ati pofika lero munthu mmodzi wafa pomwe ena anayi avulala ndipo alandira thandizo pa chipatala cha boma la Nkhotakota.
Wolemba: Bright Lunda, Lilongwe.
#liwulanulachikondi","Madzi osefukira ku dwangwa, kusefukira kwa madzi ku Dwangwa","https://web.facebook.com/permalink.php?story_fbid=pfbid02svocWUE95KhETABiQpNRX3uzHAXSMQVM4ZBkp4LuQ1gdbrACScZVB8HwDJ81P9Asl&id=100067143643927","Dwangwa",NA,2024-02-29,"0.64861111111111114",NA
"8","#Times360Malawi
Munthu m’modzi wamwalira bwato, lomwe limapulumutsa anthu omwe agwira njakata kamba ka madzi osefukira ku Dwangwa m'boma la Nkhotakota, litatembenuzika.
M’neneri wa khonsolo ya bomali, a Wongani Mkandawire auza Times 360 Malawi kuti bamboyu adali mlonda yemwe amagwira ntchito pa malo ena ogona alendo mderali.
A Mkandawire atinso pakadalipano, chiwerengero cha anthu omwe akhudzidwa ndi madzi osefukirawa m’madera a mafumu akuluakulu a Mphonde, Kanyenda ndi Malengachanzi m'bomali chafika pa 6, 145.
Mphindi zingapo zapitazo, mfumu yayikulu Mphonde ya m'bomali yatiuza kuti, anthu omwe ali msukulu komanso m’makachisi osiyanasiyana mdera lake akufunika thandizo la zakudya mwansanga.
Ntchito yofikira anthu ndi thandizoli ikukhala yovuta kamba koti malo ena a msewu wa M5 waduka.
M’neneri wa polisi ya Nkhotakota a Paul Malimwe wati anthu awiri apulumutsidwa galimoto lawo litakoloka ndi madzi dzulo pomwe  adanyozera chenjezo loti asadutse malo omwe pali mlatho wa Kaombe ndi malo ochitira chipikisheni a Kaombe.
Wolemba:  Samuel Duncan","Madzi osefukira ku dwangwa, Madzi osefukira ku nkhotakota","https://web.facebook.com/Times360Malawi/posts/pfbid0pCTeeCzmQcm4s42MszwQ9mTVDNxbAkXwyndwwK6EXnYK57QzGtKQabLcjhGEbJVfl","Dwangwa",NA,2024-02-29,"0.49930555555555556",NA
"9","#Times360Malawi
The Ministry of Water and Sanitation has warned of impending flooding on major rivers in the Northern Region and lakeshore areas.
A statement signed by Director of Water Resources ,James Chitete, attributes the development to heavy rains and thunderstorms in the region.
According to the statement, the ministry's flood forecasting model has detected possible flooding on North Rukuru, South Rukuru, Hara, 
Nyungwe, Wovwe, Songwe, Kyungu, Lufilya, Limphasa, Nkhula, 
Lipimbi, Dwambazi, Dwangwa, Bua, Luweya, Linthipe and Chirua rivers among others.
""Communities along some of the mentioned rivers are therefore advised to utilise the Community Based 
Flood Early Warning Systems installed to prevent loss of life
caused by floods,"" reads part of the statement.
Reported by Eric Msikiti","flooding in Dwangwa, dwangwa floods",NA,NA,NA,2024-02-25,"0.73333333333333328",NA
"10","#WCMGnews
#SportsUpdate
Several people are  in need of help after being trapped by flooding water in some parts of Nkhotakota district following heavy rains.
Nkhotakota District Council’s Acting Disaster Risk Management Officer George Zibophe, told We Can Media Online that they have sourced boats locally to rescue the victims.
Ziphobe added that many houses have been damaged but the extent of damage is yet to be verified. Some roads have also been damaged including bridges.
Reported by Shaffie A Mtambo - Blantyre","flooding in nkhotakota","https://web.facebook.com/photo/?fbid=819406463534451&set=pcb.819406696867761",NA,NA,2024-02-28,"0.72777777777777775",NA
